step time_fs KE_kcal_mol PE_kcal_mol TE_kcal_mol T_K
0 0.000000 1.7492435688 98.2469319329 99.9961755017 36.677231
1 1.000000 1.7158395446 98.2825456902 99.9983852348 35.976832
2 2.000000 1.9643286272 98.0322703585 99.9965989857 41.187022
3 3.000000 2.4685650017 97.5234346360 99.9919996378 51.759589
4 4.000000 3.1625476380 96.8257244407 99.9882720787 66.310656
5 5.000000 3.9901097008 95.9972804017 99.9873901025 83.662548
6 6.000000 4.9333252272 95.0547105454 99.9880357726 103.439401
7 7.000000 5.9953254081 93.9921177051 99.9874431132 125.706869
8 8.000000 7.1609805379 92.8229866402 99.9839671781 150.147720
9 9.000000 8.3744524694 91.6043783511 99.9788308206 175.591169
10 10.000000 9.5595932118 90.4163223518 99.9759155636 200.440585
11 11.000000 10.6743255421 89.3035939456 99.9779194878 223.813713
12 12.000000 11.7422473221 88.2395080376 99.9817553597 246.205342
13 13.000000 12.8078465865 87.1735225603 99.9813691468 268.548274
14 14.000000 13.8595946423 86.1169789413 99.9765735836 290.600781
15 15.000000 14.8297603115 85.1440593699 99.9738196814 310.942711
16 16.000000 15.6777947087 84.2991216240 99.9769163327 328.723856
17 17.000000 16.4412296220 83.5409121653 99.9821417873 344.731163
18 18.000000 17.1870781981 82.7962578060 99.9833360041 360.369728
19 19.000000 17.9280423278 82.0511597147 99.9792020425 375.905879
20 20.000000 18.6067961188 81.3686535890 99.9754497078 390.137636
21 21.000000 19.1747480645 80.8035971524 99.9783452170 402.046157
22 22.000000 19.6700399049 80.3148333082 99.9848732131 412.431179
23 23.000000 20.1738545810 79.8116762556 99.9855308366 422.994904
24 24.000000 20.6925503380 79.2869251291 99.9794754672 433.870647
25 25.000000 21.1494693687 78.8269434512 99.9764128199 443.451088
26 26.000000 21.5061836406 78.4749700097 99.9811536504 450.930487
27 27.000000 21.8251566022 78.1618903247 99.9870469269 457.618547
28 28.000000 22.1843436280 77.8018128890 99.9861565170 465.149794
29 29.000000 22.5711330851 77.4087465292 99.9798796144 473.259794
30 30.000000 22.9024286657 77.0751955427 99.9776242083 480.206228
31 31.000000 23.1483200517 76.8353128519 99.9836329036 485.361951
32 32.000000 23.3820875736 76.6067716887 99.9888592623 490.263467
33 33.000000 23.6664226755 76.3182883492 99.9847110248 496.225257
34 34.000000 23.9506788652 76.0272583827 99.9779372479 502.185394
35 35.000000 24.1536039148 75.8256884909 99.9792924057 506.440221
36 36.000000 24.2966016148 75.6898207146 99.9864223295 509.438522
37 37.000000 24.4754175387 75.5133449199 99.9887624585 513.187841
38 38.000000 24.7216385010 75.2613812889 99.9830197900 518.350475
39 39.000000 24.9586185318 75.0191200562 99.9777385880 523.319349
40 40.000000 25.1149420332 74.8665330928 99.9814751260 526.597059
41 41.000000 25.2324411937 74.7562143164 99.9886555101 529.060720
42 42.000000 25.3957279886 74.5915557670 99.9872837556 532.484433
43 43.000000 25.5884282941 74.3910435157 99.9794718098 536.524873
44 44.000000 25.7193313090 74.2585702694 99.9779015784 539.269579
45 45.000000 25.7761210213 74.2085139056 99.9846349268 540.460316
46 46.000000 25.8516936437 74.1374808511 99.9891744948 542.044884
47 47.000000 26.0081898579 73.9766637820 99.9848536399 545.326215
48 48.000000 26.1876784327 73.7904104198 99.9780888525 549.089639
49 49.000000 26.2976902033 73.6818198079 99.9795100112 551.396308
50 50.000000 26.3483125572 73.6389125841 99.9872251413 552.457731
51 51.000000 26.4283458387 73.5600314425 99.9883772812 554.135828
52 52.000000 26.5513127837 73.4295169194 99.9808297031 556.714135
53 53.000000 26.6307530932 73.3462652053 99.9770182985 558.379798
54 54.000000 26.6289577572 73.3537057917 99.9826635489 558.342154
55 55.000000 26.6270339341 73.3616089463 99.9886428804 558.301816
56 56.000000 26.7075347626 73.2784492061 99.9859839688 559.989716
57 57.000000 26.8348825528 73.1437103441 99.9785928969 562.659878
58 58.000000 26.9076515961 73.0702267631 99.9778783592 564.185662
59 59.000000 26.9075592365 73.0778058713 99.9853651078 564.183725
60 60.000000 26.9189688905 73.0697620848 99.9887309753 564.422957
61 61.000000 26.9810404298 73.0011280273 99.9821684570 565.724441
62 62.000000 27.0193203709 72.9573229139 99.9766432848 566.527075
63 63.000000 26.9758090048 73.0050252644 99.9808342692 565.614751
64 64.000000 26.9140291033 73.0736887234 99.9877178267 564.319382
65 65.000000 26.9292098028 73.0575801415 99.9867899443 564.637683
66 66.000000 27.0093213260 72.9700205338 99.9793418599 566.317420
67 67.000000 27.0525641117 72.9241516494 99.9767157611 567.224112
68 68.000000 27.0166524449 72.9668006721 99.9834531170 566.471135
69 69.000000 26.9764872182 73.0121626574 99.9886498756 565.628971
70 70.000000 26.9924987888 72.9909912666 99.9834900554 565.964694
71 71.000000 27.0061819762 72.9705236150 99.9767055913 566.251596
72 72.000000 26.9432473244 73.0359874059 99.9792347304 564.932015
73 73.000000 26.8455755459 73.1410005968 99.9865761427 562.884083
74 74.000000 26.8142488452 73.1731009979 99.9873498431 562.227241
75 75.000000 26.8603240361 73.1199574610 99.9802814971 563.193322
76 76.000000 26.8881028367 73.0879144819 99.9760173187 563.775774
77 77.000000 26.8358910354 73.1457232855 99.9816143208 562.681024
78 78.000000 26.7655275662 73.2226499405 99.9881775067 561.205679
79 79.000000 26.7537746334 73.2308662580 99.9846408913 560.959250
80 80.000000 26.7604119588 73.2166278940 99.9770398527 561.098418
81 81.000000 26.6994327275 73.2783933401 99.9778260676 559.819837
82 82.000000 26.5891934890 73.3960363933 99.9852298823 557.508398
83 83.000000 26.5307286486 73.4568756828 99.9876043313 556.282537
84 84.000000 26.5565113018 73.4247544606 99.9812657623 556.823135
85 85.000000 26.5816622540 73.3940153506 99.9756776046 557.350487
86 86.000000 26.5294027570 73.4504689976 99.9798717546 556.254737
