step time_fs KE_kcal_mol PE_kcal_mol TE_kcal_mol T_K
0 0.000000 1.5019704439 -6.3084117337 -4.8064412898 38.760044
1 1.000000 1.4753296334 -6.2817665150 -4.8064368816 38.072548
2 2.000000 1.4502288501 -6.2566613235 -4.8064324734 37.424794
3 3.000000 1.4268212433 -6.2332494481 -4.8064282048 36.820734
4 4.000000 1.4052542020 -6.2116784200 -4.8064242180 36.264173
5 5.000000 1.3856677432 -6.1920883991 -4.8064206559 35.758722
6 6.000000 1.3681929237 -6.1746105837 -4.8064176600 35.307764
7 7.000000 1.3529503048 -6.1593656731 -4.8064153682 34.914411
8 8.000000 1.3400484979 -6.1464624112 -4.8064139133 34.581466
9 9.000000 1.3295828215 -6.1359962417 -4.8064134202 34.311387
10 10.000000 1.3216340957 -6.1280481007 -4.8064140050 34.106261
11 11.000000 1.3162676000 -6.1226833729 -4.8064157729 33.967773
12 12.000000 1.3135322163 -6.1199510333 -4.8064188170 33.897183
13 13.000000 1.3134597774 -6.1198829945 -4.8064232172 33.895314
14 14.000000 1.3160646325 -6.1224936720 -4.8064290395 33.962535
15 15.000000 1.3213434433 -6.1277797792 -4.8064363359 34.098761
16 16.000000 1.3292752118 -6.1357203555 -4.8064451437 34.303449
17 17.000000 1.3398215415 -6.1462770277 -4.8064554862 34.575609
18 18.000000 1.3529271254 -6.1593944986 -4.8064673731 34.913813
19 19.000000 1.3685204495 -6.1750012511 -4.8064808017 35.316217
20 20.000000 1.3865146973 -6.1930104545 -4.8064957572 35.780578
21 21.000000 1.4068088354 -6.2133210501 -4.8065122147 36.304292
22 22.000000 1.4292888558 -6.2358189961 -4.8065301403 36.884414
23 23.000000 1.4538291515 -6.2603786442 -4.8065494927 37.517704
24 24.000000 1.4802939952 -6.2868642199 -4.8065702247 38.200659
25 25.000000 1.5085390938 -6.3151313786 -4.8065922848 38.929556
26 26.000000 1.5384131886 -6.3450288072 -4.8066156186 39.700491
27 27.000000 1.5697596738 -6.3763998442 -4.8066401704 40.509422
28 28.000000 1.6024182041 -6.4090840883 -4.8066658842 41.352212
29 29.000000 1.6362262677 -6.4429189728 -4.8066927051 42.224668
30 30.000000 1.6710207009 -6.4777412808 -4.8067205800 43.122577
31 31.000000 1.7066391229 -6.5133885815 -4.8067494585 44.041751
32 32.000000 1.7429212769 -6.5497005705 -4.8067792937 44.978053
33 33.000000 1.7797102591 -6.5865203010 -4.8068100419 45.927434
34 34.000000 1.8168536294 -6.6236952933 -4.8068416639 46.885961
35 35.000000 1.8542043935 -6.6610785175 -4.8068741240 47.849839
36 36.000000 1.8916218539 -6.6985292446 -4.8069073908 48.815439
37 37.000000 1.9289723273 -6.7359137635 -4.8069414363 49.779310
38 38.000000 1.9661297314 -6.7731059677 -4.8069762363 50.738199
39 39.000000 2.0029760430 -6.8099878127 -4.8070117697 51.689060
40 40.000000 2.0394016345 -6.8464496524 -4.8070480180 52.629064
41 41.000000 2.0753054943 -6.8823904594 -4.8070849651 53.555603
42 42.000000 2.1105953421 -6.9177179391 -4.8071225969 54.466298
43 43.000000 2.1451876461 -6.9523485468 -4.8071609007 55.358991
44 44.000000 2.1790075525 -6.9862074172 -4.8071998647 56.231752
45 45.000000 2.2119887393 -7.0192282173 -4.8072394780 57.082869
46 46.000000 2.2440732025 -7.0513529321 -4.8072797296 57.910845
47 47.000000 2.2752109857 -7.0825315945 -4.8073206088 58.714390
48 48.000000 2.3053598634 -7.1127219678 -4.8073621044 59.492416
49 49.000000 2.3344849865 -7.1418891911 -4.8074042047 60.244023
50 50.000000 2.3625584987 -7.1700053959 -4.8074468973 60.968492
51 51.000000 2.3895591325 -7.1970493014 -4.8074901688 61.665273
52 52.000000 2.4154717913 -7.2230057964 -4.8075340051 62.333979
53 53.000000 2.4402871236 -7.2478655145 -4.8075783909 62.974367
54 54.000000 2.4640010969 -7.2716244067 -4.8076233099 63.586332
55 55.000000 2.4866145738 -7.2942833185 -4.8076687447 64.169899
56 56.000000 2.5081328964 -7.3158475735 -4.8077146771 64.725203
57 57.000000 2.5285654808 -7.3363265688 -4.8077610880 65.252489
58 58.000000 2.5479254268 -7.3557333840 -4.8078079572 65.752095
59 59.000000 2.5662291422 -7.3740844065 -4.8078552643 66.224443
60 60.000000 2.5834959861 -7.3913989737 -4.8079029876 66.670033
61 61.000000 2.5997479303 -7.4076990359 -4.8079511056 67.089433
62 62.000000 2.6150092415 -7.4230088374 -4.8079995959 67.483268
63 63.000000 2.6293061824 -7.4373546185 -4.8080484361 67.852217
64 64.000000 2.6426667346 -7.4507643382 -4.8080976036 68.197001
65 65.000000 2.6551203406 -7.4632674163 -4.8081470757 68.518380
66 66.000000 2.6666976658 -7.4748944957 -4.8081968299 68.817146
67 67.000000 2.6774303801 -7.4856772240 -4.8082468440 69.094116
68 68.000000 2.6873509575 -7.4956480532 -4.8082970957 69.350128
69 69.000000 2.6964924936 -7.5048400571 -4.8083475635 69.586036
70 70.000000 2.7048885396 -7.5132867657 -4.8083982261 69.802705
